RangeFrequency,Chuan WIFI,MCS,Power_MAX(dBm),Power_MIN(dBm),EVM_MAX,EVM_MIN,FreqError_MAX(Hz),FreqError_MIN(Hz),SymClock_MAX,SymClock_Min
5G,802.11acHT80,4,22.5,18,-10,-,60000,-60000,-,-
5G,802.11acHT80,5,19,14.5,-10,-,60000,-60000,-,-
5G,802.11acHT80,6,19,14.5,-10,-,60000,-60000,-,-
5G,802.11acHT80,7,19,14.5,-10,-,60000,-60000,-,-
5G,802.11acHT80,8,18.5,14,-10,-,60000,-60000,-,-
5G,802.11acHT80,9,18.5,14,-10,-,60000,-60000,-,-
5G,802.11acHT160,0,20.5,16,-10,-,60000,-60000,-,-
5G,802.11acHT160,1,20.5,16,-10,-,60000,-60000,-,-
5G,802.11acHT160,2,20.5,16,-10,-,60000,-60000,-,-
5G,802.11acHT160,3,20.5,16,-10,-,60000,-60000,-,-
5G,802.11acHT160,4,20.5,16,-10,-,60000,-60000,-,-
5G,802.11acHT160,5,20.5,16,-10,-,60000,-60000,-,-
5G,802.11acHT160,6,20.5,16,-10,-,60000,-60000,-,-
5G,802.11acHT160,7,20.5,16,-10,-,60000,-60000,-,-
5G,802.11acHT160,8,20.5,16,-10,-,60000,-60000,-,-
5G,802.11acHT160,9,20.5,16,-10,-,60000,-60000,-,-
